id,rank_team1,total_points_team1,rank_team2,total_points_team2,is_team1_won
0,38.0,0.0,30.0,0.0,0
1,11.0,0.0,18.0,0.0,1
4,71.0,0.0,123.0,0.0,1
5,118.0,0.0,3.0,0.0,0
6,30.0,722.65,56.0,555.61,1
8,36.0,713.41,93.0,368.53,1
10,36.0,0.0,12.0,0.0,0
12,67.0,0.0,87.0,0.0,0
13,37.0,712.13,47.0,634.11,1
14,115.0,290.95,58.0,525.09,0
15,6.0,0.0,71.0,0.0,1
16,112.0,0.0,133.0,0.0,0
17,159.0,0.0,140.0,0.0,1
18,20.0,883.18,127.0,241.12,1
19,155.0,0.0,106.0,0.0,1
20,20.0,0.0,30.0,0.0,0
23,4.0,0.0,50.0,0.0,1
24,105.0,0.0,185.0,0.0,0
25,15.0,0.0,50.0,0.0,1
26,152.0,0.0,166.0,0.0,0
27,52.0,593.1,33.0,784.47,0
31,117.0,280.76,127.0,229.38,1
32,103.0,0.0,63.0,0.0,1
33,105.0,0.0,202.0,0.0,1
36,167.0,0.0,59.0,0.0,0
37,60.0,488.39,106.0,295.38,1
38,47.0,0.0,25.0,0.0,0
40,10.0,0.0,59.0,0.0,1
41,95.0,0.0,164.0,0.0,1
42,142.0,0.0,110.0,0.0,0
45,18.0,0.0,40.0,0.0,1
46,106.0,0.0,27.0,0.0,1
47,135.0,0.0,158.0,0.0,0
48,146.0,220.8,67.0,540.46,0
49,63.0,0.0,19.0,0.0,0
51,102.0,0.0,98.0,0.0,1
54,75.0,0.0,51.0,0.0,1
55,148.0,0.0,110.0,0.0,1
56,50.0,0.0,51.0,0.0,0
59,42.0,623.84,45.0,615.98,1
60,125.0,0.0,50.0,0.0,0
61,6.0,1148.57,26.0,791.28,1
62,70.0,0.0,117.0,0.0,1
68,77.0,0.0,4.0,0.0,0
71,157.0,0.0,138.0,0.0,0
72,98.0,346.45,182.0,85.5,1
73,82.0,0.0,133.0,0.0,0
74,18.0,977.35,87.0,404.39,0
75,54.0,0.0,70.0,0.0,1
76,49.0,0.0,80.0,0.0,1
77,8.0,0.0,10.0,0.0,0
79,30.0,0.0,67.0,0.0,0
80,20.0,0.0,16.0,0.0,0
84,148.0,0.0,161.0,0.0,0
86,121.0,0.0,57.0,0.0,0
87,1.0,0.0,42.0,0.0,1
91,17.0,0.0,16.0,0.0,0
92,88.0,0.0,60.0,0.0,0
93,6.0,0.0,84.0,0.0,1
94,77.0,0.0,15.0,0.0,0
95,21.0,870.5,104.0,328.05,1
97,132.0,0.0,40.0,0.0,0
102,120.0,245.77,103.0,311.64,1
103,71.0,486.31,52.0,646.34,0
104,155.0,0.0,192.0,0.0,0
106,21.0,0.0,26.0,0.0,1
108,70.0,461.69,200.0,5.46,1
109,61.0,0.0,139.0,0.0,1
111,133.0,195.68,103.0,332.19,0
113,2.0,0.0,17.0,0.0,1
114,172.0,85.8,159.0,125.47,0
115,137.0,0.0,60.0,0.0,1
117,34.0,0.0,61.0,0.0,0
118,51.0,0.0,48.0,0.0,0
119,57.0,0.0,17.0,0.0,0
120,52.0,622.81,154.0,136.1,0
121,86.0,383.12,97.0,340.59,0
123,5.0,0.0,13.0,0.0,1
130,150.0,172.26,113.0,286.55,0
131,125.0,0.0,113.0,0.0,1
133,69.0,0.0,108.0,0.0,1
137,41.0,0.0,21.0,0.0,1
138,46.0,658.77,27.0,871.73,0
139,121.0,0.0,46.0,0.0,0
140,181.0,0.0,203.0,0.0,1
141,121.0,0.0,49.0,0.0,1
145,77.0,0.0,68.0,0.0,0
146,32.0,0.0,40.0,0.0,1
147,83.0,0.0,92.0,0.0,0
148,75.0,463.8,147.0,204.68,1
151,76.0,0.0,184.0,0.0,1
152,17.0,0.0,47.0,0.0,1
153,20.0,0.0,1.0,0.0,1
154,56.0,0.0,87.0,0.0,0
155,91.0,368.84,125.0,215.37,1
156,107.0,0.0,46.0,0.0,0
159,36.0,0.0,48.0,0.0,0
160,94.0,346.52,37.0,715.23,0
161,79.0,0.0,170.0,0.0,1
162,75.0,0.0,100.0,0.0,0
164,107.0,0.0,142.0,0.0,1
169,115.0,0.0,31.0,0.0,0
172,21.0,0.0,45.0,0.0,1
173,1.0,0.0,39.0,0.0,1
174,64.0,0.0,16.0,0.0,0
177,16.0,0.0,31.0,0.0,0
179,131.0,0.0,125.0,0.0,1
182,54.0,598.7,134.0,225.02,1
184,66.0,0.0,5.0,0.0,0
187,6.0,1266.6,30.0,815.16,1
188,177.0,0.0,149.0,0.0,0
189,13.0,0.0,9.0,0.0,0
190,43.0,0.0,10.0,0.0,0
191,166.0,105.6,143.0,176.59,0
193,144.0,0.0,45.0,0.0,1
194,104.0,0.0,82.0,0.0,0
198,123.0,270.61,106.0,321.08,1
200,95.0,0.0,115.0,0.0,0
202,163.0,128.28,181.0,84.42,0
204,54.0,0.0,27.0,0.0,0
205,29.0,809.8,30.0,791.7,1
208,82.0,0.0,18.0,0.0,0
210,18.0,0.0,49.0,0.0,0
211,28.0,0.0,89.0,0.0,0
212,1.0,0.0,15.0,0.0,1
214,27.0,828.8,84.0,409.03,1
215,41.0,0.0,13.0,0.0,0
216,98.0,329.15,118.0,241.69,1
217,20.0,901.68,17.0,948.27,1
221,11.0,0.0,38.0,0.0,1
223,37.0,742.56,120.0,285.03,1
224,159.0,0.0,106.0,0.0,0
225,91.0,0.0,57.0,0.0,0
226,111.0,304.92,120.0,277.38,0
228,128.0,0.0,15.0,0.0,0
233,50.0,623.33,9.0,1176.72,0
234,78.0,432.51,77.0,446.79,0
236,142.0,0.0,167.0,0.0,0
239,97.0,352.67,47.0,650.94,1
240,8.0,0.0,152.0,0.0,1
241,31.0,0.0,31.0,0.0,1
243,82.0,426.52,21.0,889.28,0
245,59.0,519.95,161.0,126.21,1
246,170.0,0.0,183.0,0.0,1
249,142.0,0.0,59.0,0.0,0
250,15.0,1056.65,42.0,691.64,0
251,88.0,0.0,153.0,0.0,1
252,163.0,127.19,177.0,87.48,1
253,112.0,276.51,190.0,27.54,1
254,70.0,0.0,106.0,0.0,1
255,85.0,0.0,67.0,0.0,1
256,161.0,0.0,88.0,0.0,0
257,74.0,484.31,135.0,263.35,1
258,104.0,0.0,9.0,0.0,0
259,142.0,202.35,146.0,191.48,1
261,86.0,0.0,28.0,0.0,0
264,70.0,0.0,67.0,0.0,0
265,71.0,0.0,80.0,0.0,1
267,84.0,0.0,41.0,0.0,0
269,140.0,227.27,126.0,266.9,0
273,151.0,0.0,178.0,0.0,0
274,139.0,211.86,184.0,77.67,1
275,38.0,0.0,144.0,0.0,1
277,37.0,0.0,149.0,0.0,1
278,149.0,0.0,81.0,0.0,1
279,51.0,588.18,80.0,408.39,1
280,82.0,0.0,136.0,0.0,0
281,101.0,0.0,142.0,0.0,1
282,1.0,1606.05,92.0,388.2,1
286,81.0,0.0,9.0,0.0,0
287,173.0,0.0,16.0,0.0,0
288,121.0,281.25,57.0,552.67,0
290,159.0,0.0,153.0,0.0,0
294,83.0,422.01,122.0,278.74,1
296,69.0,515.26,88.0,374.42,1
297,63.0,0.0,49.0,0.0,0
298,100.0,339.38,157.0,134.69,0
